mc,mc_ath,liq_sol,age_minutes,snipers_present,abnormal_vol,total_snipers_count,high_holder_warning,dev_sol,dev_ror,shrimp,fish,whale,fresh,target
130000.0,837700.0,101.0,11,0,1,0,0,2.0,4.0,4,13,3,0,1
119600.0,191900.0,93.0,11,1,0,17,1,0.0,0.0,5,13,2,0,1
207200.0,754500.0,127.0,4,0,1,12,0,63.0,0.0,2,10,7,0,0
55900.0,106600.0,64.0,15,0,0,0,0,10.0,3.0,6,11,3,0,1
93800.0,172100.0,83.0,4,1,0,25,0,5.0,0.0,6,9,5,0,1
145000.0,10100000.0,107.0,60,0,0,0,0,3.0,0.0,6,8,0,0,0
49700.0,167800.0,60.0,13,0,0,0,0,0.0,0.0,11,5,3,0,1
88600.0,129800.0,81.0,11,0,0,0,0,3.0,0.0,10,8,0,1,1
70800.0,244100.0,71.0,11,0,0,0,0,45.0,0.0,2,13,5,0,0
62200.0,96100.0,66.0,60,0,0,0,0,29.0,3.0,6,8,5,0,1
50900.0,213200.0,62.0,60,0,0,28,0,3.0,0.0,2,15,2,0,0
134700.0,571800.0,98.0,4,0,0,0,0,0.0,0.0,11,9,0,0,1
49700.0,188400.0,59.0,13,0,0,0,0,6.0,3.0,10,7,1,0,1
99700.0,312400.0,84.0,6,0,0,0,0,2.0,1.0,13,5,1,0,1
76900.0,480000.0,74.0,20,0,1,0,0,0.0,4.0,6,12,2,0,0
11400.0,11400.0,,10080,0,0,0,0,0.0,0.0,4,1,0,0,0
131600.0,191000.0,97.0,48,0,0,0,0,0.0,0.0,5,6,1,7,1
66400.0,325900.0,69.0,13,1,0,15,0,3.0,0.0,5,11,4,0,0
52200.0,489800.0,62.0,14,0,1,0,1,0.0,9.0,4,13,3,0,1
112300.0,206400.0,89.0,11,0,0,0,1,4.0,6.0,8,7,1,2,0
44000.0,44900.0,,1440,0,0,0,0,0.0,0.0,1,4,5,0,0
139200.0,213400.0,99.0,18,0,0,0,0,15.0,0.0,10,6,2,0,0
45600.0,16500000.0,61.0,55,0,0,0,0,160.0,0.0,4,12,3,0,0
101400.0,242700.0,86.0,14,0,0,0,0,1.0,3.0,15,3,2,0,0
148300.0,259900.0,103.0,14,0,0,0,0,5.0,2.0,7,9,2,2,0
77100.0,185400.0,74.0,18,0,0,0,0,25.0,0.0,2,13,5,0,1
134500.0,187700.0,99.0,20,0,0,0,0,1.0,4.0,10,3,2,0,0
325500.0,1100000.0,153.0,16,0,0,0,0,3.0,5.0,7,7,3,0,0
120900.0,625800.0,95.0,5,0,1,0,1,0.0,0.0,1,12,4,0,0
100400.0,289700.0,86.0,5,0,0,0,0,0.0,0.0,9,10,0,1,0
